Designator,Mid X,Mid Y,Rotation,Layer
J101,72.5,-60.0,0.0,top
J102,87.5,-60.0,0.0,top
J103,102.5,-60.0,0.0,top
J104,117.5,-60.0,0.0,top
J105,72.5,-70.0,180.0,top
J106,87.5,-70.0,180.0,top
J107,102.5,-70.0,180.0,top
J108,117.5,-70.0,180.0,top
P101,95.000001,-80.0,180.0,bottom
