Designator,Footprint,Quantity,Value,LCSC Part #
"J101, J102, J103, J104, J105, J106, J107, J108",AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,8,Conn_PWR-OUT,
P101,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Conn_PWR-IN,
